,gid,위도,경도,sub_cnt,point
112,Na,37.30258632,126.9837658,1,POINT (126.9837658 37.30258632)
113,광교 파출소,37.28932021,127.0459061,1,POINT (127.0459061 37.28932021)
114,Na,37.27992597,126.95571979999998,1,POINT (126.9557198 37.27992597)
115,광교 파출소,37.26240391,127.0799011,1,POINT (127.0799011 37.26240391)
116,광교 파출소,37.28039088,127.0685207,1,POINT (127.0685207 37.28039088)
117,광교 파출소,37.302634999999995,126.99504920000001,1,POINT (126.9950492 37.302635)
118,광교 파출소,37.30277459,127.0288996,1,POINT (127.0288996 37.30277459)
119,Na,37.24422977,127.04053929999999,1,POINT (127.0405393 37.24422977)
120,Na,37.24431512,127.0630889,1,POINT (127.0630889 37.24431512)
121,Na,37.24418549,127.0292645,1,POINT (127.0292645 37.24418549)
122,Na,37.30714181,126.9950191,1,POINT (126.9950191 37.30714181)
123,Na,37.25305989,126.99538030000001,1,POINT (126.9953803 37.25305989)
124,광교 파출소,37.27129277,127.0460144,1,POINT (127.0460144 37.27129277)
125,Na,37.30706837,126.97809299999999,1,POINT (126.978093 37.30706837)
126,Na,37.31157516,126.9780618,1,POINT (126.9780618 37.31157516)
127,Na,37.29795313,126.95558989999999,1,POINT (126.9555899 37.29795313)
128,광교 파출소,37.29819918,127.01200349999999,1,POINT (127.0120035 37.29819918)
129,광교 파출소,37.30286226,127.0514666,1,POINT (127.0514666 37.30286226)
130,광교 파출소,37.26221296,127.0291524,1,POINT (127.0291524 37.26221296)
131,광교 파출소,37.29824516,127.0232863,1,POINT (127.0232863 37.29824516)
132,Na,37.25310741,127.0066563,1,POINT (127.0066563 37.25310741)
133,광교 파출소,37.26225728,127.0404298,1,POINT (127.0404298 37.26225728)
134,광교 파출소,37.29382706,127.0458791,1,POINT (127.0458791 37.29382706)
135,광교 파출소,37.24882201,127.06306289999999,1,POINT (127.0630629 37.24882201)
136,Na,37.25298660000001,126.9784663,1,POINT (126.9784663 37.25298660000001)
137,광교 파출소,37.25777215,127.0460956,1,POINT (127.0460956 37.25777215)
138,광교 파출소,37.26680739,127.05168059999998,1,POINT (127.0516806 37.26680739)
139,Na,37.27997729,126.9669998,1,POINT (126.9669998 37.27997729)
140,광교 파출소,37.26234268,127.0629848,1,POINT (127.0629848 37.26234268)
141,Na,37.24414013,127.01798980000001,1,POINT (127.0179898 37.24414013)
142,Na,37.29800449,126.9668726,1,POINT (126.9668726 37.29800449)
143,Na,37.23965607,127.02365549999999,1,POINT (127.0236555 37.23965607)
144,Na,37.31610671,126.98367340000001,1,POINT (126.9836734 37.31610671)
145,Na,37.2394159,126.9672855,1,POINT (126.9672855 37.2394159)
146,광교 파출소,37.27575584,127.03470790000002,1,POINT (127.0347079 37.27575584)
147,Na,37.28886052,126.93873300000001,1,POINT (126.938733 37.28886052)
148,광교 파출소,37.28483485,127.0515736,1,POINT (127.0515736 37.28483485)
149,광교 파출소,37.25785647,127.06864920000001,1,POINT (127.0686492 37.25785647)
150,Na,37.25751814,126.98407350000001,1,POINT (126.9840735 37.25751814)
151,광교 파출소,37.25783579,127.0630108,1,POINT (127.0630108 37.25783579)
152,Na,37.27098893,126.97270259999998,1,POINT (126.9727026 37.27098893)
153,Na,37.23944113,126.97292250000001,1,POINT (126.9729225 37.23944113)
154,Na,37.28888714,126.9443736,1,POINT (126.9443736 37.28888714)
155,Na,37.30704335,126.972451,1,POINT (126.972451 37.30704335)
156,Na,37.26643134,126.96145609999999,1,POINT (126.9614561 37.26643134)
157,광교 파출소,37.29837666,127.0571348,1,POINT (127.0571348 37.29837666)
158,광교 파출소,37.31185442,127.0457706,1,POINT (127.0457706 37.31185442)
159,Na,37.23980822,127.0631149,1,POINT (127.0631149 37.23980822)
160,광교 파출소,37.27124898,127.03473559999999,1,POINT (127.0347356 37.27124898)
161,광교 파출소,37.27135644,127.0629327,1,POINT (127.0629327 37.27135644)
162,Na,37.28455909,126.98388899999999,1,POINT (126.983889 37.28455909)
163,Na,37.32063798,126.98928559999999,1,POINT (126.9892856 37.32063798)
164,Na,37.26192453,126.9614882,1,POINT (126.9614882 37.26192453)
165,Na,37.30709312,126.98373500000001,1,POINT (126.983735 37.30709312)
166,Na,37.29336729999999,126.93869950000001,1,POINT (126.9386995 37.29336729999999)
167,광교 파출소,37.26238377,127.07426229999999,1,POINT (127.0742623 37.26238377)
168,광교 파출소,37.29812819,126.9950794,1,POINT (126.9950794 37.29812819)
169,광교 파출소,37.26662796,127.00656809999998,1,POINT (127.0065681 37.26662796)
170,Na,37.27552073,126.97831090000001,1,POINT (126.9783109 37.27552073)
171,광교 파출소,37.27133548,127.0572933,1,POINT (127.0572933 37.27133548)
172,광교 파출소,37.28936295,127.05718770000001,1,POINT (127.0571877 37.28936295)
173,광교 파출소,37.25781485,127.05737240000002,1,POINT (127.0573724 37.25781485)
174,광교 파출소,37.25789702,127.0799261,1,POINT (127.0799261 37.25789702)
175,Na,37.26650709,126.97837309999998,1,POINT (126.9783731 37.26650709)
176,광교 파출소,37.28938392,127.0628284,1,POINT (127.0628284 37.28938392)
177,Na,37.24420776,127.03490190000001,1,POINT (127.0349019 37.24420776)
178,Na,37.29339392,126.94434040000002,1,POINT (126.9443404 37.29339392)
