,gid,sgg_nm_e,value,geometry
69,다사52b17b,"Gwonseon-gu, Suwon-si",1.709,"MULTIPOLYGON (((126.9643553757663 37.25517710160803, 126.9643234626668 37.25968392278886, 126.969961941642 37.25970929943757, 126.9699935188658 37.2552024741403, 126.9643553757663 37.25517710160803)))"
70,다사52b18a,"Gwonseon-gu, Suwon-si",1.373,"MULTIPOLYGON (((126.9643234626668 37.25968392278886, 126.9642915424637 37.26419074050726, 126.9699303573893 37.26421612127286, 126.969961941642 37.25970929943757, 126.9643234626668 37.25968392278886)))"
71,다사52b18b,"Gwonseon-gu, Suwon-si",1.892,"MULTIPOLYGON (((126.9642915424637 37.26419074050726, 126.9642596151553 37.26869755476304, 126.9698987661061 37.26872293964604, 126.9699303573893 37.26421612127286, 126.9642915424637 37.26419074050726)))"
72,다사52b19a,"Gwonseon-gu, Suwon-si",1.616,"MULTIPOLYGON (((126.9642596151553 37.26869755476304, 126.9642276807402 37.27320436555608, 126.9698671677909 37.27322975455694, 126.9698987661061 37.26872293964604, 126.9642596151553 37.26869755476304)))"
73,다사52b19b,"Gwonseon-gu, Suwon-si",1.463,"MULTIPOLYGON (((126.9642276807402 37.27320436555608, 126.9641957392165 37.27771117288621, 126.969835562442 37.27773656600542, 126.9698671677909 37.27322975455694, 126.9642276807402 37.27320436555608)))"
74,다사52b20a,"Gwonseon-gu, Suwon-si",1.887,"MULTIPOLYGON (((126.9641957392165 37.27771117288621, 126.9641637905825 37.28221797675327, 126.9698039500577 37.28224337399134, 126.969835562442 37.27773656600542, 126.9641957392165 37.27771117288621)))"
75,다사52b20b,"Gwonseon-gu, Suwon-si",1.085,"MULTIPOLYGON (((126.9641637905825 37.28221797675327, 126.9641318348368 37.28672477715713, 126.9697723306363 37.2867501785145, 126.9698039500577 37.28224337399134, 126.9641637905825 37.28221797675327)))"
76,다사52b21a,"Gwonseon-gu, Suwon-si",2.12,"MULTIPOLYGON (((126.9641318348368 37.28672477715713, 126.9640998719775 37.2912315740976, 126.9697407041764 37.2912569795748, 126.9697723306363 37.2867501785145, 126.9641318348368 37.28672477715713)))"
77,다사52b21b,"Gwonseon-gu, Suwon-si",1.317,"MULTIPOLYGON (((126.9640998719775 37.2912315740976, 126.964067902003 37.29573836757456, 126.9697090706761 37.29576377717205, 126.9697407041764 37.2912569795748, 126.9640998719775 37.2912315740976)))"
78,다사52b22a,"Jangan-gu, Suwon-si",0.594,"MULTIPOLYGON (((126.964067902003 37.29573836757456, 126.9640359249117 37.30024515758785, 126.9696774301338 37.30027057130611, 126.9697090706761 37.29576377717205, 126.964067902003 37.29573836757456)))"
79,다사52b22b,"Jangan-gu, Suwon-si",0.896,"MULTIPOLYGON (((126.9640359249117 37.30024515758785, 126.9640039407019 37.30475194413733, 126.969645782548 37.30477736197684, 126.9696774301338 37.30027057130611, 126.9640359249117 37.30024515758785)))"
80,다사52b23a,"Jangan-gu, Suwon-si",1.543,"MULTIPOLYGON (((126.9640039407019 37.30475194413733, 126.9639719493719 37.30925872722283, 126.9696141279169 37.30928414918408, 126.969645782548 37.30477736197684, 126.9640039407019 37.30475194413733)))"
81,다사52b24a,"Jangan-gu, Suwon-si",4.895,"MULTIPOLYGON (((126.9639399509201 37.31376550684421, 126.9639079453447 37.31827228300128, 126.9695507975124 37.31829771320747, 126.9695824662389 37.31379093292768, 126.9639399509201 37.31376550684421)))"
82,다사53a14b,"Gwonseon-gu, Suwon-si",2.539,"MULTIPOLYGON (((126.9701828346963 37.22816144966395, 126.9701512996108 37.23266829572981, 126.9757877714718 37.2326933794449, 126.9758189711283 37.22818652930904, 126.9701828346963 37.22816144966395)))"
83,다사53a15a,"Gwonseon-gu, Suwon-si",3.522,"MULTIPOLYGON (((126.9701512996108 37.23266829572981, 126.9701197575063 37.23717513833462, 126.9757565648711 37.2372002261202, 126.9757877714718 37.2326933794449, 126.9701512996108 37.23266829572981)))"
84,다사53a15b,"Gwonseon-gu, Suwon-si",2.415,"MULTIPOLYGON (((126.9701197575063 37.23717513833462, 126.9700882083811 37.24168197747823, 126.9757253513244 37.24170706933476, 126.9757565648711 37.2372002261202, 126.9701197575063 37.23717513833462)))"
85,다사53a16a,"Gwonseon-gu, Suwon-si",1.991,"MULTIPOLYGON (((126.9700882083811 37.24168197747823, 126.9700566522338 37.24618881316048, 126.9756941308301 37.24621390908845, 126.9757253513244 37.24170706933476, 126.9700882083811 37.24168197747823)))"
86,다사53a16b,"Gwonseon-gu, Suwon-si",1.362,"MULTIPOLYGON (((126.9700566522338 37.24618881316048, 126.9700250890626 37.25069564538121, 126.9756629033867 37.25072074538111, 126.9756941308301 37.24621390908845, 126.9700566522338 37.24618881316048)))"
87,다사53a17a,"Gwonseon-gu, Suwon-si",1.909,"MULTIPOLYGON (((126.9700250890626 37.25069564538121, 126.9699935188658 37.2552024741403, 126.9756316689925 37.25522757821258, 126.9756629033867 37.25072074538111, 126.9700250890626 37.25069564538121)))"
88,다사53a17b,"Gwonseon-gu, Suwon-si",0.796,"MULTIPOLYGON (((126.9699935188658 37.2552024741403, 126.969961941642 37.25970929943757, 126.975600427646 37.25973440758272, 126.9756316689925 37.25522757821258, 126.9699935188658 37.2552024741403)))"
89,다사53a18a,"Gwonseon-gu, Suwon-si",0.583,"MULTIPOLYGON (((126.969961941642 37.25970929943757, 126.9699303573893 37.26421612127286, 126.9755691793453 37.26424123349137, 126.975600427646 37.25973440758272, 126.969961941642 37.25970929943757)))"
90,다사53a18b,"Gwonseon-gu, Suwon-si",1.563,"MULTIPOLYGON (((126.9699303573893 37.26421612127286, 126.9698987661061 37.26872293964604, 126.975537924089 37.26874805593837, 126.9755691793453 37.26424123349137, 126.9699303573893 37.26421612127286)))"
91,다사53a19a,"Gwonseon-gu, Suwon-si",1.345,"MULTIPOLYGON (((126.9698987661061 37.26872293964604, 126.9698671677909 37.27322975455694, 126.9755066618754 37.27325487492357, 126.975537924089 37.26874805593837, 126.9698987661061 37.26872293964604)))"
92,다사53a19b,"Gwonseon-gu, Suwon-si",0.722,"MULTIPOLYGON (((126.9698671677909 37.27322975455694, 126.969835562442 37.27773656600542, 126.9754753927028 37.27776169044684, 126.9755066618754 37.27325487492357, 126.9698671677909 37.27322975455694)))"
93,다사53a20a,"Gwonseon-gu, Suwon-si",0.191,"MULTIPOLYGON (((126.969835562442 37.27773656600542, 126.9698039500577 37.28224337399134, 126.9754441165698 37.282268502508, 126.9754753927028 37.27776169044684, 126.969835562442 37.27773656600542)))"
94,다사53a20b,"Gwonseon-gu, Suwon-si",1.228,"MULTIPOLYGON (((126.9698039500577 37.28224337399134, 126.9697723306363 37.2867501785145, 126.9754128334746 37.28677531110692, 126.9754441165698 37.282268502508, 126.9698039500577 37.28224337399134)))"
95,다사53a21a,"Jangan-gu, Suwon-si",1.91,"MULTIPOLYGON (((126.9697723306363 37.2867501785145, 126.9697407041764 37.2912569795748, 126.9753815434155 37.29128211624343, 126.9754128334746 37.28677531110692, 126.9697723306363 37.2867501785145)))"
96,다사53a21b,"Jangan-gu, Suwon-si",1.709,"MULTIPOLYGON (((126.9697407041764 37.2912569795748, 126.9697090706761 37.29576377717205, 126.975350246391 37.29578891791738, 126.9753815434155 37.29128211624343, 126.9697407041764 37.2912569795748)))"
97,다사53a22a,"Jangan-gu, Suwon-si",0.09,"MULTIPOLYGON (((126.9697090706761 37.29576377717205, 126.9696774301338 37.30027057130611, 126.9753189423995 37.30029571612862, 126.975350246391 37.29578891791738, 126.9697090706761 37.29576377717205)))"
98,다사53a22b,"Jangan-gu, Suwon-si",0.633,"MULTIPOLYGON (((126.9696774301338 37.30027057130611, 126.969645782548 37.30477736197684, 126.9752876314393 37.30480251087701, 126.9753189423995 37.30029571612862, 126.9696774301338 37.30027057130611)))"
