gid,여성인구비율,cctv개수,가로등개수,경찰서접근성,
다사52a20a,0.092720003,0,0.011235955,0.16274653,0.244230578
다사58a22b,0.086009904,0,0.116104869,0.128268809,0.098173845
다사58b21b,0.082757161,0,0.179775281,0.007231556,-0.089786564
다사52b17a,0.081081645,0,0.097378277,0.130898466,0.114601834
다사54a16a,0.078293289,0,0.43071161,0.166106647,-0.186311674
다사55a17b,0.075551021,0,0.310861423,0.082688093,-0.152622309
다사53b23a,0.075133152,0,0.101123596,0.109788167,0.083797723
다사61b17b,0.070200255,0,0.157303371,0.12899927,0.041896153
다사52b20b,0.068238306,0,0.254681648,0.072680789,-0.113762553
다사60a20a,0.066507532,0,0.299625468,0.09284149,-0.140276446
다사58a23b,0.060829372,0,0.007490637,0.206135866,0.259474601
다사57a20a,0.057423253,0,0.397003745,0.041344047,-0.298236445
다사50a20b,0.055143447,0.166666667,0.063670412,0.092768444,-0.082425188
다사55a17a,0.049852054,0,0.033707865,0.072607743,0.088751932
다사60b17a,0.046248907,0,0.059925094,0.187582177,0.17390599
다사54b24b,0.039509786,0,0.142322097,0.109057706,0.006245395
다사54a17b,0.013599913,0,0.176029963,0.20182615,0.039396101
다사54b17a,0.009235466,0,0.25093633,0.039883126,-0.201817737
다사57a24a,0.004556752,0,0.123595506,0.298100804,0.17906205
다사57a25b,0,0,0.063670412,0.4,0.336329588
